Freight_Number,Origin,Origin_State,Origin_Lat,Origin_Lon,Destination,Destination_State,Destination_Lat,Destination_Lon,Item,Quantity,Cost,Ship_Date,Est_Delivery,Status,UPS_Tracking,Ship_Method
FR-14303,Washington DC,DC,38.9072,-77.0369,Tulsa,OK,36.154,-95.9928,Engine Parts,19,2059.61,2026-04-17,2026-05-27,Delayed,1ZPYHNSDBVTCVOFGHLK,Ground
FR-59540,Salt Lake City,UT,40.7608,-111.891,Dallas,TX,32.7767,-96.797,Engine Parts,35,1089.69,2026-06-14,2026-06-27,In Transit,1ZTJUNZBPWKTKZKMCIN,Air
FR-38807,Dallas,TX,32.7767,-96.797,Denver,CO,39.7392,-104.9903,Wheels & Tires,45,334.58,2026-03-21,2026-04-29,Delayed,1ZJHCSIDLXFBXZYEASC,Ground
FR-11886,Houston,TX,29.7604,-95.3698,Dallas,TX,32.7767,-96.797,Wheels & Tires,14,671.41,2026-06-13,2026-06-22,In Transit,1ZIBSJWMKVFYISQLFVM,Air
FR-57134,Oklahoma City,OK,35.4676,-97.5164,Las Vegas,NV,36.1699,-115.1398,Engine Parts,10,2224.67,2026-05-22,2026-06-15,Delivered,1ZRYWKNEHMKCUUIPGIK,Ground
FR-45127,Washington DC,DC,38.9072,-77.0369,Phoenix,AZ,33.4484,-112.074,Suspension Kits,15,404.24,2026-06-03,2026-06-27,Delivered,1ZZYQFEGXUIYQRMAYMQ,Ground
FR-64627,Austin,TX,30.2672,-97.7431,Dallas,TX,32.7767,-96.797,Suspension Kits,26,2182.0,2026-03-20,2026-05-24,Delayed,1ZEPLHVUHMLVCAYLBUS,Air
FR-11755,San Antonio,TX,29.4241,-98.4936,Phoenix,AZ,33.4484,-112.074,Exhaust Systems,31,1225.94,2026-06-14,2026-06-27,Delivered,1ZDVRZDXAXNFHPRQFQM,Ground
FR-65346,Denver,CO,39.7392,-104.9903,Houston,TX,29.7604,-95.3698,Body Kits,39,2404.09,2026-04-16,2026-04-25,Delayed,1ZTRKHWLTCOVSEWHOTJ,Air
FR-40142,Austin,TX,30.2672,-97.7431,Denver,CO,39.7392,-104.9903,Body Kits,1,2361.91,2026-03-27,2026-06-03,In Transit,1ZOPYUGITJGNLWZEDGA,Air
FR-31986,Salt Lake City,UT,40.7608,-111.891,San Antonio,TX,29.4241,-98.4936,Body Kits,47,190.29,2026-03-21,2026-06-18,Delivered,1ZZBVWYBUQRIGYJNWGB,Ground
FR-37776,Phoenix,AZ,33.4484,-112.074,San Antonio,TX,29.4241,-98.4936,Wheels & Tires,36,1349.87,2026-04-13,2026-04-30,Delayed,1ZOAWKALZOZPNDAWQTZ,Air
FR-87965,Denver,CO,39.7392,-104.9903,Austin,TX,30.2672,-97.7431,Wheels & Tires,15,2367.35,2026-04-22,2026-05-20,Delivered,1ZQYKGNQWRADKHNDVFN,Ground
FR-78380,Phoenix,AZ,33.4484,-112.074,Houston,TX,29.7604,-95.3698,Body Kits,32,1510.88,2026-04-28,2026-05-01,In Transit,1ZICRAJNXOULEDVJQFP,Air
FR-60722,Salt Lake City,UT,40.7608,-111.891,Las Vegas,NV,36.1699,-115.1398,Wheels & Tires,13,698.46,2026-04-22,2026-04-23,Delayed,1ZZSSZLDZNIWMUDLZSK,Air
FR-63152,Las Vegas,NV,36.1699,-115.1398,Tulsa,OK,36.154,-95.9928,Suspension Kits,41,1696.0,2026-04-02,2026-04-23,Delayed,1ZBMDKRXNPOISSZADZH,Ground
FR-83005,Oklahoma City,OK,35.4676,-97.5164,Salt Lake City,UT,40.7608,-111.891,Wheels & Tires,48,1625.07,2026-05-24,2026-06-11,Delayed,1ZULEDGPWVMYOFZSTPB,Air
FR-57641,Phoenix,AZ,33.4484,-112.074,San Antonio,TX,29.4241,-98.4936,Suspension Kits,48,1912.0,2026-04-12,2026-05-06,Delivered,1ZIQOJDIISIPGOBEHJO,Ground
FR-72994,San Antonio,TX,29.4241,-98.4936,Washington DC,DC,38.9072,-77.0369,Electronics & Lighting,42,1507.71,2026-04-05,2026-06-27,Delivered,1ZLRDPHXBYPRBYAKHDD,Ground
FR-35566,Oklahoma City,OK,35.4676,-97.5164,Phoenix,AZ,33.4484,-112.074,Body Kits,27,562.27,2026-05-19,2026-05-23,Delivered,1ZIOYFZOCYKCNDNUQMI,Ground
FR-51393,Denver,CO,39.7392,-104.9903,Las Vegas,NV,36.1699,-115.1398,Body Kits,25,2001.02,2026-04-01,2026-04-08,In Transit,1ZPGYZWKDXZLEWYEFDA,Air
FR-36889,Washington DC,DC,38.9072,-77.0369,Houston,TX,29.7604,-95.3698,Electronics & Lighting,24,1808.73,2026-06-13,2026-06-25,Delivered,1ZUYMTITEIDVZZMSSYI,Ground
FR-36613,Oklahoma City,OK,35.4676,-97.5164,Las Vegas,NV,36.1699,-115.1398,Exhaust Systems,40,2348.62,2026-04-09,2026-06-14,Delayed,1ZZCXIEMAZCVLZSWFXX,Ground
FR-91353,Austin,TX,30.2672,-97.7431,Houston,TX,29.7604,-95.3698,Engine Parts,41,603.48,2026-05-07,2026-05-14,Delivered,1ZYVBHDWUWJFQFGDOYI,Air
FR-61338,Las Vegas,NV,36.1699,-115.1398,Tulsa,OK,36.154,-95.9928,Wheels & Tires,18,900.32,2026-03-31,2026-05-02,Delayed,1ZHPUPMKDZMBXVTTZED,Ground
FR-90695,Salt Lake City,UT,40.7608,-111.891,Phoenix,AZ,33.4484,-112.074,Engine Parts,26,663.94,2026-04-28,2026-05-04,Delivered,1ZIZBQQETDJURFRTHTU,Ground
FR-95098,Salt Lake City,UT,40.7608,-111.891,Las Vegas,NV,36.1699,-115.1398,Electronics & Lighting,20,150.16,2026-05-05,2026-06-01,Delayed,1ZSFPGWMPPWSFIIHQCO,Ground
FR-65797,Houston,TX,29.7604,-95.3698,Oklahoma City,OK,35.4676,-97.5164,Electronics & Lighting,2,2265.27,2026-05-08,2026-05-12,In Transit,1ZHTKBLZIDZXLXRKICI,Air
FR-23829,Tulsa,OK,36.154,-95.9928,Houston,TX,29.7604,-95.3698,Body Kits,29,1315.19,2026-03-23,2026-05-22,Delivered,1ZEVWSSAUICPLBDBLKP,Air
FR-15014,Denver,CO,39.7392,-104.9903,Las Vegas,NV,36.1699,-115.1398,Wheels & Tires,2,217.04,2026-04-24,2026-05-01,Delivered,1ZJFGURHVWVJNENUFIE,Air
FR-14527,Austin,TX,30.2672,-97.7431,Las Vegas,NV,36.1699,-115.1398,Exhaust Systems,26,2366.7,2026-06-04,2026-06-28,In Transit,1ZUVYWGQSPNTNYICYIY,Ground
FR-29143,Phoenix,AZ,33.4484,-112.074,Oklahoma City,OK,35.4676,-97.5164,Exhaust Systems,38,338.5,2026-04-30,2026-05-22,In Transit,1ZYYDHZVNZVFXZUMUZM,Air
FR-69675,Phoenix,AZ,33.4484,-112.074,Las Vegas,NV,36.1699,-115.1398,Suspension Kits,50,2488.53,2026-05-22,2026-06-26,In Transit,1ZLNKJEWGECRISAEWVK,Ground
FR-31679,San Antonio,TX,29.4241,-98.4936,Tulsa,OK,36.154,-95.9928,Engine Parts,30,215.9,2026-04-04,2026-05-02,Delayed,1ZFPIRZSQSFWYHAGTIA,Ground
FR-57022,Tulsa,OK,36.154,-95.9928,San Antonio,TX,29.4241,-98.4936,Suspension Kits,42,450.58,2026-06-10,2026-06-25,In Transit,1ZUBQSOKSCPLUKOEXUW,Ground
FR-74424,Denver,CO,39.7392,-104.9903,Houston,TX,29.7604,-95.3698,Wheels & Tires,35,978.19,2026-04-08,2026-05-20,Delivered,1ZVNJUWWOQDVTKTLJOY,Air
FR-30261,Phoenix,AZ,33.4484,-112.074,Houston,TX,29.7604,-95.3698,Exhaust Systems,5,2489.78,2026-04-10,2026-05-24,In Transit,1ZLPIJANUWVENOEPGMP,Ground
FR-65078,Houston,TX,29.7604,-95.3698,Oklahoma City,OK,35.4676,-97.5164,Suspension Kits,26,269.38,2026-04-11,2026-04-24,Delayed,1ZHHHWAEBPZLZXSKQUR,Ground
FR-64305,Oklahoma City,OK,35.4676,-97.5164,San Antonio,TX,29.4241,-98.4936,Exhaust Systems,9,1365.15,2026-05-28,2026-06-12,Delivered,1ZKGHNRNRGTAGIENSWB,Air
FR-66014,Houston,TX,29.7604,-95.3698,Tulsa,OK,36.154,-95.9928,Exhaust Systems,29,256.35,2026-05-08,2026-05-13,In Transit,1ZLVLAITAKXGRKATCDY,Ground
FR-71426,Houston,TX,29.7604,-95.3698,Phoenix,AZ,33.4484,-112.074,Engine Parts,7,936.57,2026-04-14,2026-04-26,In Transit,1ZPVTXDXDXUVJSUCXDH,Air
